😀,b'\\U0001F600',grinning face face grin
👱🏾,b'\\U0001F471\\U0001F3FE',blond-haired person: medium-dark skin tone blond medium-dark skin tone
👱🏿,b'\\U0001F471\\U0001F3FF',blond-haired person: dark skin tone blond dark skin tone
👱‍♂️,b'\\U0001F471\\U0000200D\\U00002642\\U0000FE0F',blond-haired man blond man
👱🏻‍♂️,b'\\U0001F471\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',blond-haired man: light skin tone blond light skin tone man
👱🏼‍♂️,b'\\U0001F471\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',blond-haired man: medium-light skin tone blond man medium-light skin tone
👱🏽‍♂️,b'\\U0001F471\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',blond-haired man: medium skin tone blond man medium skin tone
👱🏾‍♂️,b'\\U0001F471\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',blond-haired man: medium-dark skin tone blond man medium-dark skin tone
👱🏿‍♂️,b'\\U0001F471\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',blond-haired man: dark skin tone blond dark skin tone man
👱‍♀️,b'\\U0001F471\\U0000200D\\U00002640\\U0000FE0F',blond-haired woman blonde woman
👱🏻‍♀️,b'\\U0001F471\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',blond-haired woman: light skin tone blonde light skin tone woman
👱🏼‍♀️,b'\\U0001F471\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',blond-haired woman: medium-light skin tone blonde medium-light skin tone woman
👱🏽‍♀️,b'\\U0001F471\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',blond-haired woman: medium skin tone blonde medium skin tone woman
👱🏾‍♀️,b'\\U0001F471\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',blond-haired woman: medium-dark skin tone blonde medium-dark skin tone woman
👱🏿‍♀️,b'\\U0001F471\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',blond-haired woman: dark skin tone blonde dark skin tone woman
🎅,b'\\U0001F385',Santa Claus celebration Christmas claus father santa
🎅🏻,b'\\U0001F385\\U0001F3FB',Santa Claus: light skin tone celebration Christmas claus father light skin tone santa
🎅🏼,b'\\U0001F385\\U0001F3FC',Santa Claus: medium-light skin tone celebration Christmas claus father medium-light skin tone santa
🎅🏽,b'\\U0001F385\\U0001F3FD',Santa Claus: medium skin tone celebration Christmas claus father medium skin tone santa
🎅🏾,b'\\U0001F385\\U0001F3FE',Santa Claus: medium-dark skin tone celebration Christmas claus father medium-dark skin tone santa
🎅🏿,b'\\U0001F385\\U0001F3FF',Santa Claus: dark skin tone celebration Christmas claus dark skin tone father santa
🤶,b'\\U0001F936',Mrs. Claus celebration Christmas claus mother Mrs.
🤶🏻,b'\\U0001F936\\U0001F3FB',Mrs. Claus: light skin tone celebration Christmas claus light skin tone mother Mrs.
🤶🏼,b'\\U0001F936\\U0001F3FC',Mrs. Claus: medium-light skin tone celebration Christmas claus medium-light skin tone mother Mrs.
🤶🏽,b'\\U0001F936\\U0001F3FD',Mrs. Claus: medium skin tone celebration Christmas claus medium skin tone mother Mrs.
🤶🏾,b'\\U0001F936\\U0001F3FE',Mrs. Claus: medium-dark skin tone celebration Christmas claus medium-dark skin tone mother Mrs.
🤶🏿,b'\\U0001F936\\U0001F3FF',Mrs. Claus: dark skin tone celebration Christmas claus dark skin tone mother Mrs.
👸,b'\\U0001F478',princess fairy tale fantasy
👸🏻,b'\\U0001F478\\U0001F3FB',princess: light skin tone fairy tale fantasy light skin tone
👸🏼,b'\\U0001F478\\U0001F3FC',princess: medium-light skin tone fairy tale fantasy medium-light skin tone
👸🏽,b'\\U0001F478\\U0001F3FD',princess: medium skin tone fairy tale fantasy medium skin tone
👸🏾,b'\\U0001F478\\U0001F3FE',princess: medium-dark skin tone fairy tale fantasy medium-dark skin tone
👸🏿,b'\\U0001F478\\U0001F3FF',princess: dark skin tone dark skin tone fairy tale fantasy
🤴,b'\\U0001F934',prince prince
🤴🏻,b'\\U0001F934\\U0001F3FB',prince: light skin tone light skin tone prince
🤴🏼,b'\\U0001F934\\U0001F3FC',prince: medium-light skin tone medium-light skin tone prince
🤴🏽,b'\\U0001F934\\U0001F3FD',prince: medium skin tone medium skin tone prince
🤴🏾,b'\\U0001F934\\U0001F3FE',prince: medium-dark skin tone medium-dark skin tone prince
🤴🏿,b'\\U0001F934\\U0001F3FF',prince: dark skin tone dark skin tone prince
👰,b'\\U0001F470',bride with veil bride veil wedding
👰🏻,b'\\U0001F470\\U0001F3FB',bride with veil: light skin tone bride light skin tone veil wedding
👰🏼,b'\\U0001F470\\U0001F3FC',bride with veil: medium-light skin tone bride medium-light skin tone veil wedding
👰🏽,b'\\U0001F470\\U0001F3FD',bride with veil: medium skin tone bride medium skin tone veil wedding
👰🏾,b'\\U0001F470\\U0001F3FE',bride with veil: medium-dark skin tone bride medium-dark skin tone veil wedding
👰🏿,b'\\U0001F470\\U0001F3FF',bride with veil: dark skin tone bride dark skin tone veil wedding
🤵,b'\\U0001F935',man in tuxedo groom man tuxedo
🤵🏻,b'\\U0001F935\\U0001F3FB',man in tuxedo: light skin tone groom light skin tone man tuxedo
🤵🏼,b'\\U0001F935\\U0001F3FC',man in tuxedo: medium-light skin tone groom man medium-light skin tone tuxedo
🤵🏽,b'\\U0001F935\\U0001F3FD',man in tuxedo: medium skin tone groom man medium skin tone tuxedo
🤵🏾,b'\\U0001F935\\U0001F3FE',man in tuxedo: medium-dark skin tone groom man medium-dark skin tone tuxedo
🤵🏿,b'\\U0001F935\\U0001F3FF',man in tuxedo: dark skin tone dark skin tone groom man tuxedo
🤰,b'\\U0001F930',pregnant woman pregnant woman
🤰🏻,b'\\U0001F930\\U0001F3FB',pregnant woman: light skin tone light skin tone pregnant woman
🤰🏼,b'\\U0001F930\\U0001F3FC',pregnant woman: medium-light skin tone medium-light skin tone pregnant woman
🤰🏽,b'\\U0001F930\\U0001F3FD',pregnant woman: medium skin tone medium skin tone pregnant woman
🤰🏾,b'\\U0001F930\\U0001F3FE',pregnant woman: medium-dark skin tone medium-dark skin tone pregnant woman
🤰🏿,b'\\U0001F930\\U0001F3FF',pregnant woman: dark skin tone dark skin tone pregnant woman
👲,b'\\U0001F472',man with Chinese cap gua pi mao hat man
👲🏻,b'\\U0001F472\\U0001F3FB',man with Chinese cap: light skin tone gua pi mao hat light skin tone man
👲🏼,b'\\U0001F472\\U0001F3FC',man with Chinese cap: medium-light skin tone gua pi mao hat man medium-light skin tone
👲🏽,b'\\U0001F472\\U0001F3FD',man with Chinese cap: medium skin tone gua pi mao hat man medium skin tone
👲🏾,b'\\U0001F472\\U0001F3FE',man with Chinese cap: medium-dark skin tone gua pi mao hat man medium-dark skin tone
👲🏿,b'\\U0001F472\\U0001F3FF',man with Chinese cap: dark skin tone dark skin tone gua pi mao hat man
🙍,b'\\U0001F64D',person frowning frown gesture
🙍🏻,b'\\U0001F64D\\U0001F3FB',person frowning: light skin tone frown gesture light skin tone
🙍🏼,b'\\U0001F64D\\U0001F3FC',person frowning: medium-light skin tone frown gesture medium-light skin tone
🙍🏽,b'\\U0001F64D\\U0001F3FD',person frowning: medium skin tone frown gesture medium skin tone
🙍🏾,b'\\U0001F64D\\U0001F3FE',person frowning: medium-dark skin tone frown gesture medium-dark skin tone
🙍🏿,b'\\U0001F64D\\U0001F3FF',person frowning: dark skin tone dark skin tone frown gesture
🙍‍♂️,b'\\U0001F64D\\U0000200D\\U00002642\\U0000FE0F',man frowning frowning gesture man
🙍🏻‍♂️,b'\\U0001F64D\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man frowning: light skin tone frowning gesture light skin tone man
🙍🏼‍♂️,b'\\U0001F64D\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man frowning: medium-light skin tone frowning gesture man medium-light skin tone
🙍🏽‍♂️,b'\\U0001F64D\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man frowning: medium skin tone frowning gesture man medium skin tone
🙍🏾‍♂️,b'\\U0001F64D\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man frowning: medium-dark skin tone frowning gesture man medium-dark skin tone
🙍🏿‍♂️,b'\\U0001F64D\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man frowning: dark skin tone dark skin tone frowning gesture man
🙍‍♀️,b'\\U0001F64D\\U0000200D\\U00002640\\U0000FE0F',woman frowning frowning gesture woman
🙍🏻‍♀️,b'\\U0001F64D\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman frowning: light skin tone frowning gesture light skin tone woman
🙍🏼‍♀️,b'\\U0001F64D\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman frowning: medium-light skin tone frowning gesture medium-light skin tone woman
🙍🏽‍♀️,b'\\U0001F64D\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman frowning: medium skin tone frowning gesture medium skin tone woman
🙍🏾‍♀️,b'\\U0001F64D\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman frowning: medium-dark skin tone frowning gesture medium-dark skin tone woman
🙍🏿‍♀️,b'\\U0001F64D\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman frowning: dark skin tone dark skin tone frowning gesture woman
🙎,b'\\U0001F64E',person pouting gesture pouting
🙎🏻,b'\\U0001F64E\\U0001F3FB',person pouting: light skin tone gesture light skin tone pouting
🙎🏼,b'\\U0001F64E\\U0001F3FC',person pouting: medium-light skin tone gesture medium-light skin tone pouting
🙎🏽,b'\\U0001F64E\\U0001F3FD',person pouting: medium skin tone gesture medium skin tone pouting
🙎🏾,b'\\U0001F64E\\U0001F3FE',person pouting: medium-dark skin tone gesture medium-dark skin tone pouting
🙎🏿,b'\\U0001F64E\\U0001F3FF',person pouting: dark skin tone dark skin tone gesture pouting
🙎‍♂️,b'\\U0001F64E\\U0000200D\\U00002642\\U0000FE0F',man pouting gesture man pouting
🙎🏻‍♂️,b'\\U0001F64E\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man pouting: light skin tone gesture light skin tone man pouting
🙎🏼‍♂️,b'\\U0001F64E\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man pouting: medium-light skin tone gesture man medium-light skin tone pouting
🙎🏽‍♂️,b'\\U0001F64E\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man pouting: medium skin tone gesture man medium skin tone pouting
🙎🏾‍♂️,b'\\U0001F64E\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man pouting: medium-dark skin tone gesture man medium-dark skin tone pouting
🙎🏿‍♂️,b'\\U0001F64E\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man pouting: dark skin tone dark skin tone gesture man pouting
🙎‍♀️,b'\\U0001F64E\\U0000200D\\U00002640\\U0000FE0F',woman pouting gesture pouting woman
🙎🏻‍♀️,b'\\U0001F64E\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman pouting: light skin tone gesture light skin tone pouting woman
🙎🏼‍♀️,b'\\U0001F64E\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman pouting: medium-light skin tone gesture medium-light skin tone pouting woman
🙎🏽‍♀️,b'\\U0001F64E\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman pouting: medium skin tone gesture medium skin tone pouting woman
🙎🏾‍♀️,b'\\U0001F64E\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman pouting: medium-dark skin tone gesture medium-dark skin tone pouting woman
🙎🏿‍♀️,b'\\U0001F64E\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman pouting: dark skin tone dark skin tone gesture pouting woman
🙅,b'\\U0001F645',person gesturing NO forbidden gesture hand no not prohibited
🙅🏻,b'\\U0001F645\\U0001F3FB',person gesturing NO: light skin tone forbidden gesture hand light skin tone no not prohibited
🙅🏼,b'\\U0001F645\\U0001F3FC',person gesturing NO: medium-light skin tone forbidden gesture hand medium-light skin tone no not prohibited
🙅🏽,b'\\U0001F645\\U0001F3FD',person gesturing NO: medium skin tone forbidden gesture hand medium skin tone no not prohibited
🙅🏾,b'\\U0001F645\\U0001F3FE',person gesturing NO: medium-dark skin tone forbidden gesture hand medium-dark skin tone no not prohibited
🙅🏿,b'\\U0001F645\\U0001F3FF',person gesturing NO: dark skin tone dark skin tone forbidden gesture hand no not prohibited
🙅‍♂️,b'\\U0001F645\\U0000200D\\U00002642\\U0000FE0F',man gesturing NO forbidden gesture hand man no prohibited
🙅🏻‍♂️,b'\\U0001F645\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man gesturing NO: light skin tone forbidden gesture hand light skin tone man no prohibited
🙅🏼‍♂️,b'\\U0001F645\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man gesturing NO: medium-light skin tone forbidden gesture hand man medium-light skin tone no prohibited
🙅🏽‍♂️,b'\\U0001F645\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man gesturing NO: medium skin tone forbidden gesture hand man medium skin tone no prohibited
🙅🏾‍♂️,b'\\U0001F645\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man gesturing NO: medium-dark skin tone forbidden gesture hand man medium-dark skin tone no prohibited
🙅🏿‍♂️,b'\\U0001F645\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man gesturing NO: dark skin tone dark skin tone forbidden gesture hand man no prohibited
🙅‍♀️,b'\\U0001F645\\U0000200D\\U00002640\\U0000FE0F',woman gesturing NO forbidden gesture hand no prohibited woman
🙅🏻‍♀️,b'\\U0001F645\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman gesturing NO: light skin tone forbidden gesture hand light skin tone no prohibited woman
🙅🏼‍♀️,b'\\U0001F645\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman gesturing NO: medium-light skin tone forbidden gesture hand medium-light skin tone no prohibited woman
🙅🏽‍♀️,b'\\U0001F645\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman gesturing NO: medium skin tone forbidden gesture hand medium skin tone no prohibited woman
🙅🏾‍♀️,b'\\U0001F645\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman gesturing NO: medium-dark skin tone forbidden gesture hand medium-dark skin tone no prohibited woman
🙅🏿‍♀️,b'\\U0001F645\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman gesturing NO: dark skin tone dark skin tone forbidden gesture hand no prohibited woman
🙆,b'\\U0001F646',person gesturing OK gesture hand OK
🙆🏻,b'\\U0001F646\\U0001F3FB',person gesturing OK: light skin tone gesture hand light skin tone OK
🙆🏼,b'\\U0001F646\\U0001F3FC',person gesturing OK: medium-light skin tone gesture hand medium-light skin tone OK
🙆🏽,b'\\U0001F646\\U0001F3FD',person gesturing OK: medium skin tone gesture hand medium skin tone OK
🙆🏾,b'\\U0001F646\\U0001F3FE',person gesturing OK: medium-dark skin tone gesture hand medium-dark skin tone OK
🙆🏿,b'\\U0001F646\\U0001F3FF',person gesturing OK: dark skin tone dark skin tone gesture hand OK
🙆‍♂️,b'\\U0001F646\\U0000200D\\U00002642\\U0000FE0F',man gesturing OK gesture hand man OK
🙆🏻‍♂️,b'\\U0001F646\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man gesturing OK: light skin tone gesture hand light skin tone man OK
🙆🏼‍♂️,b'\\U0001F646\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man gesturing OK: medium-light skin tone gesture hand man medium-light skin tone OK
🙆🏽‍♂️,b'\\U0001F646\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man gesturing OK: medium skin tone gesture hand man medium skin tone OK
🙆🏾‍♂️,b'\\U0001F646\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man gesturing OK: medium-dark skin tone gesture hand man medium-dark skin tone OK
🙆🏿‍♂️,b'\\U0001F646\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man gesturing OK: dark skin tone dark skin tone gesture hand man OK
🙆‍♀️,b'\\U0001F646\\U0000200D\\U00002640\\U0000FE0F',woman gesturing OK gesture hand OK woman
🙆🏻‍♀️,b'\\U0001F646\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman gesturing OK: light skin tone gesture hand light skin tone OK woman
🙆🏼‍♀️,b'\\U0001F646\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman gesturing OK: medium-light skin tone gesture hand medium-light skin tone OK woman
🙆🏽‍♀️,b'\\U0001F646\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman gesturing OK: medium skin tone gesture hand medium skin tone OK woman
🙆🏾‍♀️,b'\\U0001F646\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman gesturing OK: medium-dark skin tone gesture hand medium-dark skin tone OK woman
🙆🏿‍♀️,b'\\U0001F646\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman gesturing OK: dark skin tone dark skin tone gesture hand OK woman
💁,b'\\U0001F481',person tipping hand hand help information sassy tipping
💁🏻,b'\\U0001F481\\U0001F3FB',person tipping hand: light skin tone hand help information light skin tone sassy tipping
💁🏼,b'\\U0001F481\\U0001F3FC',person tipping hand: medium-light skin tone hand help information medium-light skin tone sassy tipping
💁🏽,b'\\U0001F481\\U0001F3FD',person tipping hand: medium skin tone hand help information medium skin tone sassy tipping
💁🏾,b'\\U0001F481\\U0001F3FE',person tipping hand: medium-dark skin tone hand help information medium-dark skin tone sassy tipping
💁🏿,b'\\U0001F481\\U0001F3FF',person tipping hand: dark skin tone dark skin tone hand help information sassy tipping
💁‍♂️,b'\\U0001F481\\U0000200D\\U00002642\\U0000FE0F',man tipping hand man sassy tipping hand
💁🏻‍♂️,b'\\U0001F481\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man tipping hand: light skin tone light skin tone man sassy tipping hand
💁🏼‍♂️,b'\\U0001F481\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man tipping hand: medium-light skin tone man medium-light skin tone sassy tipping hand
💁🏽‍♂️,b'\\U0001F481\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man tipping hand: medium skin tone man medium skin tone sassy tipping hand
💁🏾‍♂️,b'\\U0001F481\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man tipping hand: medium-dark skin tone man medium-dark skin tone sassy tipping hand
💁🏿‍♂️,b'\\U0001F481\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man tipping hand: dark skin tone dark skin tone man sassy tipping hand
💁‍♀️,b'\\U0001F481\\U0000200D\\U00002640\\U0000FE0F',woman tipping hand sassy tipping hand woman
💁🏻‍♀️,b'\\U0001F481\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman tipping hand: light skin tone light skin tone sassy tipping hand woman
💁🏼‍♀️,b'\\U0001F481\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman tipping hand: medium-light skin tone medium-light skin tone sassy tipping hand woman
💁🏽‍♀️,b'\\U0001F481\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman tipping hand: medium skin tone medium skin tone sassy tipping hand woman
💁🏾‍♀️,b'\\U0001F481\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman tipping hand: medium-dark skin tone medium-dark skin tone sassy tipping hand woman
💁🏿‍♀️,b'\\U0001F481\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman tipping hand: dark skin tone dark skin tone sassy tipping hand woman
🙋,b'\\U0001F64B',person raising hand gesture hand happy raised
🙋🏻,b'\\U0001F64B\\U0001F3FB',person raising hand: light skin tone gesture hand happy light skin tone raised
🙋🏼,b'\\U0001F64B\\U0001F3FC',person raising hand: medium-light skin tone gesture hand happy medium-light skin tone raised
🙋🏽,b'\\U0001F64B\\U0001F3FD',person raising hand: medium skin tone gesture hand happy medium skin tone raised
🙋🏾,b'\\U0001F64B\\U0001F3FE',person raising hand: medium-dark skin tone gesture hand happy medium-dark skin tone raised
🙋🏿,b'\\U0001F64B\\U0001F3FF',person raising hand: dark skin tone dark skin tone gesture hand happy raised
🙋‍♂️,b'\\U0001F64B\\U0000200D\\U00002642\\U0000FE0F',man raising hand gesture man raising hand
🙋🏻‍♂️,b'\\U0001F64B\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man raising hand: light skin tone gesture light skin tone man raising hand
🙋🏼‍♂️,b'\\U0001F64B\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man raising hand: medium-light skin tone gesture man medium-light skin tone raising hand
🙋🏽‍♂️,b'\\U0001F64B\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man raising hand: medium skin tone gesture man medium skin tone raising hand
🙋🏾‍♂️,b'\\U0001F64B\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man raising hand: medium-dark skin tone gesture man medium-dark skin tone raising hand
🙋🏿‍♂️,b'\\U0001F64B\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man raising hand: dark skin tone dark skin tone gesture man raising hand
🙋‍♀️,b'\\U0001F64B\\U0000200D\\U00002640\\U0000FE0F',woman raising hand gesture raising hand woman
🙋🏻‍♀️,b'\\U0001F64B\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman raising hand: light skin tone gesture light skin tone raising hand woman
🙋🏼‍♀️,b'\\U0001F64B\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman raising hand: medium-light skin tone gesture medium-light skin tone raising hand woman
🙋🏽‍♀️,b'\\U0001F64B\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman raising hand: medium skin tone gesture medium skin tone raising hand woman
🙋🏾‍♀️,b'\\U0001F64B\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman raising hand: medium-dark skin tone gesture medium-dark skin tone raising hand woman
🙋🏿‍♀️,b'\\U0001F64B\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman raising hand: dark skin tone dark skin tone gesture raising hand woman
🙇,b'\\U0001F647',person bowing apology bow gesture sorry
🙇🏻,b'\\U0001F647\\U0001F3FB',person bowing: light skin tone apology bow gesture light skin tone sorry
🙇🏼,b'\\U0001F647\\U0001F3FC',person bowing: medium-light skin tone apology bow gesture medium-light skin tone sorry
🙇🏽,b'\\U0001F647\\U0001F3FD',person bowing: medium skin tone apology bow gesture medium skin tone sorry
🙇🏾,b'\\U0001F647\\U0001F3FE',person bowing: medium-dark skin tone apology bow gesture medium-dark skin tone sorry
🙇🏿,b'\\U0001F647\\U0001F3FF',person bowing: dark skin tone apology bow dark skin tone gesture sorry
🙇‍♂️,b'\\U0001F647\\U0000200D\\U00002642\\U0000FE0F',man bowing apology bowing favor gesture man sorry
🙇🏻‍♂️,b'\\U0001F647\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man bowing: light skin tone apology bowing favor gesture light skin tone man sorry
🙇🏼‍♂️,b'\\U0001F647\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man bowing: medium-light skin tone apology bowing favor gesture man medium-light skin tone sorry
🙇🏽‍♂️,b'\\U0001F647\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man bowing: medium skin tone apology bowing favor gesture man medium skin tone sorry
🙇🏾‍♂️,b'\\U0001F647\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man bowing: medium-dark skin tone apology bowing favor gesture man medium-dark skin tone sorry
🙇🏿‍♂️,b'\\U0001F647\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man bowing: dark skin tone apology bowing dark skin tone favor gesture man sorry
🙇‍♀️,b'\\U0001F647\\U0000200D\\U00002640\\U0000FE0F',woman bowing apology bowing favor gesture sorry woman
🙇🏻‍♀️,b'\\U0001F647\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman bowing: light skin tone apology bowing favor gesture light skin tone sorry woman
🙇🏼‍♀️,b'\\U0001F647\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman bowing: medium-light skin tone apology bowing favor gesture medium-light skin tone sorry woman
🙇🏽‍♀️,b'\\U0001F647\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman bowing: medium skin tone apology bowing favor gesture medium skin tone sorry woman
🙇🏾‍♀️,b'\\U0001F647\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman bowing: medium-dark skin tone apology bowing favor gesture medium-dark skin tone sorry woman
🙇🏿‍♀️,b'\\U0001F647\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman bowing: dark skin tone apology bowing dark skin tone favor gesture sorry woman
🤦,b'\\U0001F926',person facepalming disbelief exasperation face palm
🤦🏻,b'\\U0001F926\\U0001F3FB',person facepalming: light skin tone disbelief exasperation face light skin tone palm
🤦🏼,b'\\U0001F926\\U0001F3FC',person facepalming: medium-light skin tone disbelief exasperation face medium-light skin tone palm
🤦🏽,b'\\U0001F926\\U0001F3FD',person facepalming: medium skin tone disbelief exasperation face medium skin tone palm
🤦🏾,b'\\U0001F926\\U0001F3FE',person facepalming: medium-dark skin tone disbelief exasperation face medium-dark skin tone palm
🤦🏿,b'\\U0001F926\\U0001F3FF',person facepalming: dark skin tone dark skin tone disbelief exasperation face palm
🤦‍♂️,b'\\U0001F926\\U0000200D\\U00002642\\U0000FE0F',man facepalming disbelief exasperation facepalm man
🤦🏻‍♂️,b'\\U0001F926\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man facepalming: light skin tone disbelief exasperation facepalm light skin tone man
🤦🏼‍♂️,b'\\U0001F926\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man facepalming: medium-light skin tone disbelief exasperation facepalm man medium-light skin tone
🤦🏽‍♂️,b'\\U0001F926\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man facepalming: medium skin tone disbelief exasperation facepalm man medium skin tone
🤦🏾‍♂️,b'\\U0001F926\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man facepalming: medium-dark skin tone disbelief exasperation facepalm man medium-dark skin tone
🤦🏿‍♂️,b'\\U0001F926\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man facepalming: dark skin tone dark skin tone disbelief exasperation facepalm man
🤦‍♀️,b'\\U0001F926\\U0000200D\\U00002640\\U0000FE0F',woman facepalming disbelief exasperation facepalm woman
🤦🏻‍♀️,b'\\U0001F926\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman facepalming: light skin tone disbelief exasperation facepalm light skin tone woman
🤦🏼‍♀️,b'\\U0001F926\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman facepalming: medium-light skin tone disbelief exasperation facepalm medium-light skin tone woman
🤦🏽‍♀️,b'\\U0001F926\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman facepalming: medium skin tone disbelief exasperation facepalm medium skin tone woman
🤦🏾‍♀️,b'\\U0001F926\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman facepalming: medium-dark skin tone disbelief exasperation facepalm medium-dark skin tone woman
🤦🏿‍♀️,b'\\U0001F926\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman facepalming: dark skin tone dark skin tone disbelief exasperation facepalm woman
🤷,b'\\U0001F937',person shrugging doubt ignorance indifference shrug
🤷🏻,b'\\U0001F937\\U0001F3FB',person shrugging: light skin tone doubt ignorance indifference light skin tone shrug
🤷🏼,b'\\U0001F937\\U0001F3FC',person shrugging: medium-light skin tone doubt ignorance indifference medium-light skin tone shrug
🤷🏽,b'\\U0001F937\\U0001F3FD',person shrugging: medium skin tone doubt ignorance indifference medium skin tone shrug
🤷🏾,b'\\U0001F937\\U0001F3FE',person shrugging: medium-dark skin tone doubt ignorance indifference medium-dark skin tone shrug
