😀,b'\\U0001F600',grinning face face grin
👧🏻,b'\\U0001F467\\U0001F3FB',girl: light skin tone light skin tone Virgo young zodiac
👧🏼,b'\\U0001F467\\U0001F3FC',girl: medium-light skin tone medium-light skin tone Virgo young zodiac
👧🏽,b'\\U0001F467\\U0001F3FD',girl: medium skin tone medium skin tone Virgo young zodiac
👧🏾,b'\\U0001F467\\U0001F3FE',girl: medium-dark skin tone medium-dark skin tone Virgo young zodiac
👧🏿,b'\\U0001F467\\U0001F3FF',girl: dark skin tone dark skin tone Virgo young zodiac
👨,b'\\U0001F468',man man
👨🏻,b'\\U0001F468\\U0001F3FB',man: light skin tone light skin tone man
👨🏼,b'\\U0001F468\\U0001F3FC',man: medium-light skin tone man medium-light skin tone
👨🏽,b'\\U0001F468\\U0001F3FD',man: medium skin tone man medium skin tone
👨🏾,b'\\U0001F468\\U0001F3FE',man: medium-dark skin tone man medium-dark skin tone
👨🏿,b'\\U0001F468\\U0001F3FF',man: dark skin tone dark skin tone man
👩,b'\\U0001F469',woman woman
👩🏻,b'\\U0001F469\\U0001F3FB',woman: light skin tone light skin tone woman
👩🏼,b'\\U0001F469\\U0001F3FC',woman: medium-light skin tone medium-light skin tone woman
👩🏽,b'\\U0001F469\\U0001F3FD',woman: medium skin tone medium skin tone woman
👩🏾,b'\\U0001F469\\U0001F3FE',woman: medium-dark skin tone medium-dark skin tone woman
👩🏿,b'\\U0001F469\\U0001F3FF',woman: dark skin tone dark skin tone woman
👴,b'\\U0001F474',old man man old
👴🏻,b'\\U0001F474\\U0001F3FB',old man: light skin tone light skin tone man old
👴🏼,b'\\U0001F474\\U0001F3FC',old man: medium-light skin tone man medium-light skin tone old
👴🏽,b'\\U0001F474\\U0001F3FD',old man: medium skin tone man medium skin tone old
👴🏾,b'\\U0001F474\\U0001F3FE',old man: medium-dark skin tone man medium-dark skin tone old
👴🏿,b'\\U0001F474\\U0001F3FF',old man: dark skin tone dark skin tone man old
👵,b'\\U0001F475',old woman old woman
👵🏻,b'\\U0001F475\\U0001F3FB',old woman: light skin tone light skin tone old woman
👵🏼,b'\\U0001F475\\U0001F3FC',old woman: medium-light skin tone medium-light skin tone old woman
👵🏽,b'\\U0001F475\\U0001F3FD',old woman: medium skin tone medium skin tone old woman
👵🏾,b'\\U0001F475\\U0001F3FE',old woman: medium-dark skin tone medium-dark skin tone old woman
👵🏿,b'\\U0001F475\\U0001F3FF',old woman: dark skin tone dark skin tone old woman
👶,b'\\U0001F476',baby baby young
👶🏻,b'\\U0001F476\\U0001F3FB',baby: light skin tone baby light skin tone young
👶🏼,b'\\U0001F476\\U0001F3FC',baby: medium-light skin tone baby medium-light skin tone young
👶🏽,b'\\U0001F476\\U0001F3FD',baby: medium skin tone baby medium skin tone young
👶🏾,b'\\U0001F476\\U0001F3FE',baby: medium-dark skin tone baby medium-dark skin tone young
👶🏿,b'\\U0001F476\\U0001F3FF',baby: dark skin tone baby dark skin tone young
👼,b'\\U0001F47C',baby angel angel baby face fairy tale fantasy
👼🏻,b'\\U0001F47C\\U0001F3FB',baby angel: light skin tone angel baby face fairy tale fantasy light skin tone
👼🏼,b'\\U0001F47C\\U0001F3FC',baby angel: medium-light skin tone angel baby face fairy tale fantasy medium-light skin tone
👼🏽,b'\\U0001F47C\\U0001F3FD',baby angel: medium skin tone angel baby face fairy tale fantasy medium skin tone
👼🏾,b'\\U0001F47C\\U0001F3FE',baby angel: medium-dark skin tone angel baby face fairy tale fantasy medium-dark skin tone
👼🏿,b'\\U0001F47C\\U0001F3FF',baby angel: dark skin tone angel baby dark skin tone face fairy tale fantasy
👨‍⚕️,b'\\U0001F468\\U0000200D\\U00002695\\U0000FE0F',man health worker doctor healthcare man nurse therapist
👨🏻‍⚕️,b'\\U0001F468\\U0001F3FB\\U0000200D\\U00002695\\U0000FE0F',man health worker: light skin tone doctor healthcare light skin tone man nurse therapist
👨🏼‍⚕️,b'\\U0001F468\\U0001F3FC\\U0000200D\\U00002695\\U0000FE0F',man health worker: medium-light skin tone doctor healthcare man medium-light skin tone nurse therapist
👨🏽‍⚕️,b'\\U0001F468\\U0001F3FD\\U0000200D\\U00002695\\U0000FE0F',man health worker: medium skin tone doctor healthcare man medium skin tone nurse therapist
👨🏾‍⚕️,b'\\U0001F468\\U0001F3FE\\U0000200D\\U00002695\\U0000FE0F',man health worker: medium-dark skin tone doctor healthcare man medium-dark skin tone nurse therapist
👨🏿‍⚕️,b'\\U0001F468\\U0001F3FF\\U0000200D\\U00002695\\U0000FE0F',man health worker: dark skin tone dark skin tone doctor healthcare man nurse therapist
👩‍⚕️,b'\\U0001F469\\U0000200D\\U00002695\\U0000FE0F',woman health worker doctor healthcare nurse therapist woman
👩🏻‍⚕️,b'\\U0001F469\\U0001F3FB\\U0000200D\\U00002695\\U0000FE0F',woman health worker: light skin tone doctor healthcare light skin tone nurse therapist woman
👩🏼‍⚕️,b'\\U0001F469\\U0001F3FC\\U0000200D\\U00002695\\U0000FE0F',woman health worker: medium-light skin tone doctor healthcare medium-light skin tone nurse therapist woman
